pendapatan_per_kapita,skor_aset,jumlah_tanggungan,kualitas_hunian,akses_sanitasi,radiasi_satelit_ntl
882494.07,10.91,3,3,0,25.74
393347.5,70.01,7,1,1,14.06
1378054.28,48.62,2,3,0,21.58
340301.96,25.4,5,1,1,21.87
262712.96,93.47,7,4,1,28.72
804611.98,77.27,3,1,1,44.92
521905.31,59.17,4,4,1,7.18
261783.37,69.68,2,1,0,27.93
287897.78,23.18,6,3,0,1.02
594816.93,91.79,2,2,0,34.94
550637.78,94.69,4,1,1,32.06
2972342.86,65.12,4,4,0,34.73
494375.73,66.81,5,4,1,23.8
547583.31,69.88,3,4,0,9.42
1149075.9,66.59,3,3,1,22.46
529757.6,47.28,5,5,1,1.28
2551154.84,55.96,1,2,1,19.13
713413.16,34.03,4,2,1,41.94
1702539.94,47.98,4,5,1,17.0
125746.77,47.07,8,5,1,29.63
658608.72,34.49,4,3,1,13.13
379101.41,76.87,3,2,0,6.8
922364.07,44.82,3,2,1,26.09
571283.53,56.9,2,3,1,1.88
771762.96,23.27,2,4,1,45.23
415256.5,50.37,4,1,0,38.88
1186926.49,74.72,3,3,0,49.9
860077.95,47.78,4,1,1,49.66
134142.7,57.41,7,4,1,36.48
683066.96,69.65,3,3,1,38.86
323824.74,43.06,4,5,1,26.45
310607.32,40.03,3,4,1,11.01
435171.47,17.29,4,3,0,40.44
823865.98,59.49,2,1,1,13.56
4251926.41,70.09,2,3,1,32.53
1285461.96,59.41,2,1,1,36.57
433775.47,34.1,2,5,1,28.26
353218.19,32.3,4,2,0,33.17
522782.0,23.56,7,4,0,14.72
1156959.72,13.99,6,2,1,38.05
191399.02,46.28,4,2,0,47.18
160452.14,23.64,4,2,0,24.25
1218512.23,68.72,5,4,0,6.14
834974.29,91.75,3,3,1,31.02
294410.4,16.25,4,1,0,17.14
455439.42,85.9,6,1,1,21.01
58258.26,65.91,7,2,1,7.67
993389.51,83.12,2,2,1,31.33
482750.29,23.17,5,4,1,39.38
863084.36,87.05,4,3,1,38.35
215825.29,91.42,5,2,0,49.69
695787.8,87.07,3,1,1,10.69
189659.52,76.77,6,1,0,45.72
1155545.49,17.68,2,4,0,36.66
231736.05,28.76,5,4,0,35.4
258688.53,87.62,6,4,0,34.22
545448.45,29.5,2,4,1,26.96
1465247.26,39.56,2,2,0,18.99
663731.35,14.29,5,5,0,47.17
861198.65,63.39,2,1,0,7.64
405755.03,57.88,5,4,1,8.88
207845.6,91.75,4,1,1,0.93
331292.22,85.85,5,2,1,37.0
320653.94,53.01,6,3,1,44.71
1910810.28,61.79,5,1,0,9.38
254364.97,45.12,4,2,1,1.82
795516.5,21.26,6,2,1,12.28
515145.73,83.76,7,3,0,44.2
469274.86,56.71,5,4,1,0.91
1898472.17,46.16,3,1,0,5.15
1239372.92,15.82,2,1,0,1.35
1252119.58,66.56,2,4,1,47.16
960280.23,43.97,2,3,1,6.86
1377153.22,31.56,3,3,1,45.03
1276036.38,84.52,3,5,0,23.72
340543.88,25.61,4,3,1,19.8
149745.46,53.78,6,2,1,21.38
351081.51,77.64,5,3,1,20.99
408956.7,82.17,3,4,1,17.15
381721.8,79.59,5,3,1,40.56
1041495.81,86.21,4,3,1,25.45
753490.6,22.1,2,3,1,49.55
644154.37,89.94,3,3,0,25.94
1026500.97,10.92,2,1,0,40.94
824691.1,31.75,4,2,1,37.28
102994.25,17.14,5,3,1,20.12
172221.77,90.37,8,2,1,39.45
450148.27,46.03,5,4,0,7.83
1357879.82,36.8,3,1,1,10.25
492006.03,24.2,3,1,0,30.98
160777.07,23.24,4,1,0,35.61
718939.51,62.18,4,3,0,32.23
677141.4,14.0,2,3,1,25.52
242778.71,60.52,4,3,0,6.97
340816.13,75.85,4,2,0,18.7
443738.38,61.09,4,3,1,30.28
344847.94,80.26,4,4,1,11.38
131974.76,32.55,4,3,1,31.93
566074.09,16.56,6,3,1,11.79
1065154.76,71.28,4,1,0,4.98
977057.62,80.39,3,4,1,16.28
200375.96,52.64,5,3,0,13.71
439244.16,79.75,4,4,0,40.54
987508.15,48.92,2,3,1,24.23
1419946.07,26.87,2,2,1,3.3
592180.27,50.32,5,2,1,40.8
319081.35,28.36,4,3,0,13.51
694248.36,50.12,3,3,1,28.44
434785.8,22.54,6,4,1,27.12
593653.95,25.77,8,2,0,48.58
1512927.0,85.05,2,2,1,12.82
636663.22,19.85,5,2,0,7.34
695011.51,29.06,3,5,1,13.0
1155427.69,94.62,4,2,1,28.87
845129.7,58.96,3,2,1,10.96
1182743.45,59.79,1,3,0,17.09
1150523.51,81.82,4,3,0,32.94
602777.88,54.57,5,4,1,5.91
1519928.1,28.85,1,1,0,47.27
1487049.06,45.91,1,1,1,26.66
1184460.73,74.18,2,2,0,24.23
654493.23,84.16,4,3,1,18.22
1115962.9,33.22,2,2,1,12.36
796651.75,32.27,3,2,1,24.22
916406.16,37.85,6,4,1,24.36
942820.82,60.68,4,4,0,2.9
370504.88,33.67,6,4,0,42.38
871954.03,85.92,4,4,1,41.06
177855.41,93.13,6,1,0,22.45
503489.59,67.73,5,1,0,16.9
733910.43,92.48,8,4,0,25.0
579870.55,34.47,3,3,0,11.15
238465.93,79.29,5,3,1,0.14
446919.77,67.67,3,4,0,17.78
257796.51,32.37,4,5,1,1.0
412722.43,37.06,3,3,0,2.13
793769.15,51.53,2,2,0,1.57
94791.52,77.29,9,1,0,44.01
667142.34,84.14,3,3,1,7.27
1703540.22,63.89,2,4,0,12.79
191680.81,71.33,6,2,0,24.56
1233388.72,32.43,4,1,0,26.51
1346915.97,72.99,2,5,1,6.19
1839862.08,61.42,2,3,0,45.48
334036.29,28.95,4,2,1,11.63
551808.13,90.77,6,2,1,47.14
514881.72,53.59,2,4,0,12.92
1691288.66,77.53,2,4,0,0.23
439619.87,54.68,5,3,1,48.6
460556.7,89.3,6,3,0,24.24
163224.82,22.01,6,5,0,43.95
165553.21,56.42,7,2,1,36.74
567444.95,12.14,5,3,1,9.03
1122412.78,26.78,1,1,0,42.28
872668.89,33.89,3,3,1,2.65
218255.78,50.17,4,2,1,25.43
549709.4,79.71,6,5,1,12.78
473230.96,49.67,2,2,1,18.14
552352.69,57.7,5,4,1,37.88
721497.5,88.54,4,4,1,34.2
326322.86,74.31,4,1,1,22.06
351433.01,14.27,8,5,1,2.39
386352.67,25.0,6,3,1,2.09
717513.98,13.25,2,3,1,35.14
270647.58,15.87,4,1,1,47.45
101789.79,38.8,6,3,0,42.38
407595.51,71.87,6,1,1,6.2
110769.66,30.77,7,2,0,6.15
699831.05,43.34,3,1,1,30.57
338572.37,43.48,5,2,1,32.91
425736.34,60.18,7,4,1,30.86
827054.21,85.9,2,4,1,44.28
813567.48,93.57,2,1,1,11.63
1537972.03,61.39,2,4,1,8.7
606063.75,52.93,4,3,1,45.72
479383.25,67.96,5,1,0,36.14
875848.37,66.78,3,2,1,35.62
263035.54,54.54,3,4,1,16.84
780569.33,72.64,4,4,1,31.43
477214.72,51.76,6,2,1,36.36
179553.89,94.7,6,1,0,30.05
570882.92,14.16,3,2,1,36.84
322757.37,47.67,6,4,0,29.54
914520.12,43.75,2,5,1,49.1
1211256.49,75.48,2,3,0,24.65
936010.67,26.22,5,1,1,0.72
948621.99,46.9,4,3,1,8.25
180453.89,69.33,5,5,1,48.21
575966.1,61.27,5,5,0,23.53
733512.94,56.34,6,5,1,6.11
2500709.66,46.97,1,3,1,7.88
545074.69,73.92,7,3,1,1.54
1657909.3,64.95,4,4,0,11.39
732917.05,84.35,5,4,1,49.33
1151341.08,72.3,2,1,1,16.51
1855947.5,21.93,2,4,0,12.59
540709.98,62.66,4,5,1,33.41
287342.94,13.79,7,4,1,33.74
229404.32,42.93,7,4,1,48.39
1688642.87,45.01,3,3,0,36.51
151675.9,82.67,8,4,1,5.59
2486218.54,25.33,2,3,0,49.28
892075.62,64.7,3,2,0,37.54
171266.89,26.35,5,2,1,13.03
618031.81,90.64,4,3,0,13.13
70301.09,55.01,8,3,1,48.0
961925.73,70.2,3,3,1,9.71
1686206.2,64.96,2,2,1,11.46
694841.64,35.81,2,3,0,18.01
305046.18,86.6,7,3,1,34.01
3202195.67,63.32,2,4,0,21.54
731904.12,53.38,2,3,1,15.63
525186.26,54.91,2,4,1,13.45
1205860.14,85.71,4,2,1,6.34
1287373.18,15.03,5,1,1,27.36
662386.91,43.07,3,2,0,13.74
909439.23,81.54,4,4,0,16.64
886864.63,13.19,5,3,0,0.49
317494.29,64.33,4,3,1,26.61
370467.92,44.28,4,4,0,34.85
1383203.05,27.39,3,1,1,46.38
1362339.78,61.97,4,1,0,9.94
555870.48,80.64,5,2,1,45.98
292382.17,49.72,4,2,1,18.12
1633021.12,22.47,4,2,1,40.14
480607.0,36.02,3,5,1,44.85
324317.88,93.42,5,3,1,48.07
486973.4,19.44,5,3,1,16.34
1679293.9,23.66,3,3,1,13.1
472822.55,94.17,7,2,1,22.03
1271581.7,84.98,2,5,1,27.78
654533.96,70.11,4,5,1,34.56
508802.11,22.83,4,4,1,34.62
554291.39,30.45,5,2,0,5.92
86927.18,25.32,5,4,1,30.63
237073.47,63.63,7,1,1,8.48
1145837.06,43.9,2,3,0,35.6
198779.93,14.06,5,3,0,48.83
833327.25,34.76,3,1,0,38.57
350767.66,83.16,5,5,1,34.77
947446.69,77.66,6,5,0,3.97
1019042.4,64.66,5,5,1,9.31
499770.55,17.27,3,2,0,17.83
301865.82,85.04,6,2,1,46.68
632236.73,55.43,3,5,1,16.61
252015.24,52.04,6,1,1,40.71
1114445.81,89.4,2,3,1,5.28
419332.09,10.75,3,3,1,33.13
201227.8,57.25,5,2,1,38.98
960312.9,77.26,3,4,1,27.19
723187.2,15.41,4,1,1,38.37
611862.81,40.36,2,3,0,36.21
678592.0,93.09,5,2,0,23.9
678680.79,28.0,2,3,1,43.29
769338.9,55.15,3,2,0,17.15
3243639.01,73.42,1,3,1,21.33
971586.21,43.18,2,5,1,27.04
651185.73,44.67,4,4,0,6.62
290891.12,15.38,5,3,1,25.81
1762281.88,26.16,1,4,0,16.27
194708.68,84.85,9,4,0,12.91
316715.33,79.56,4,3,1,28.88
445806.88,35.89,4,3,0,16.55
195738.46,42.45,4,4,1,42.79
738340.64,47.43,2,3,1,20.56
334247.43,39.41,5,1,0,20.71
425065.17,65.58,4,4,0,49.1
428826.28,11.09,4,1,1,17.14
477656.49,84.81,4,4,1,6.66
660908.41,35.56,4,4,1,43.84
1116933.96,84.15,3,4,1,45.86
447543.3,48.62,3,1,0,11.4
240815.2,75.99,4,5,0,44.12
265263.51,80.19,4,3,1,24.78
246697.65,35.61,6,4,1,2.27
802670.87,64.43,2,3,1,27.49
624592.79,61.63,2,2,1,42.45
227757.25,50.46,4,2,1,19.89
502683.09,49.91,3,1,1,27.59
442156.01,35.94,5,3,1,7.12
708371.05,36.37,4,1,1,42.13
354779.52,56.59,4,3,0,5.43
773788.71,12.74,2,3,1,4.81
379029.28,89.36,3,3,1,46.68
324284.67,65.25,6,2,1,43.69
397253.75,47.69,3,3,1,28.79
699123.25,15.25,4,4,1,5.4
226356.8,63.55,3,3,1,27.34
399483.54,11.51,4,2,1,46.04
1187685.75,67.79,2,3,1,30.66
442795.27,16.16,5,3,0,9.99
3325757.11,65.77,3,1,0,45.3
611448.28,44.5,4,2,1,43.29
542758.67,66.32,2,3,0,27.37
936190.51,21.77,2,2,0,42.63
341500.7,19.98,2,2,1,2.91
472288.73,31.03,4,3,0,23.11
1202804.37,44.98,1,2,0,8.99
1144664.2,31.51,3,2,1,41.89
475281.98,16.97,3,4,1,48.56
462150.6,37.63,4,3,1,46.54
225687.33,69.99,6,4,1,25.22
1407064.88,59.56,4,5,1,25.6
272527.52,91.88,6,5,0,45.42
992294.04,47.05,6,2,0,36.12
1615805.06,38.29,2,3,1,3.82
441300.16,68.96,6,3,1,6.5
618433.86,45.02,4,4,0,47.59
2511217.82,62.56,1,3,1,18.36
124736.47,90.43,5,2,1,9.45
559085.49,52.43,3,3,0,36.8
470327.54,52.34,7,1,0,44.0
962716.74,75.89,2,4,0,10.41
284438.92,74.27,3,3,1,12.65
960692.97,53.88,2,3,0,45.01
1837379.67,15.5,3,2,1,0.76
837936.09,93.37,5,3,1,45.41
318391.85,42.07,6,3,0,2.06
1754548.97,36.92,2,3,1,4.86
227336.29,93.43,7,4,1,43.13
89164.25,84.13,8,4,1,12.5
379537.28,38.07,3,3,1,11.31
1688111.44,36.21,3,4,0,42.22
240312.15,71.28,7,2,1,27.16
342672.93,38.42,5,3,1,17.6
276050.09,31.37,6,3,1,35.74
2071678.41,93.27,3,3,1,40.51
2629825.81,58.09,2,2,1,43.15
1251068.66,74.81,6,1,1,6.06
257471.09,70.61,7,3,1,29.17
591892.51,74.22,4,2,0,33.94
266040.06,86.79,3,1,0,5.91
1603258.0,52.57,3,2,1,30.55
196790.38,74.04,5,3,1,1.69
376361.68,77.73,6,1,0,17.14
205290.34,90.44,5,5,1,8.68
174074.45,70.61,8,4,1,28.1
399924.18,85.87,3,2,1,9.64
344200.8,18.08,4,3,1,39.48
286957.23,20.72,5,1,1,6.15
475644.7,23.46,3,4,1,37.92
1089672.84,22.31,3,2,0,5.04
255451.53,17.44,4,1,0,22.18
1131639.11,20.42,2,4,0,34.96
1372525.74,94.65,3,2,1,8.16
364319.98,33.14,4,3,0,37.64
322208.56,50.63,4,4,1,47.68
345327.08,79.84,5,4,1,18.73
574884.81,20.06,7,2,1,0.11
742555.05,36.98,3,4,1,23.89
240268.41,23.54,6,2,0,45.13
883559.31,15.32,3,3,0,33.28
341127.78,91.66,3,3,1,35.19
746030.19,82.96,4,1,1,39.64
506726.39,84.74,5,3,1,45.42
412099.69,83.84,4,3,1,6.33
239764.05,23.14,5,4,1,29.55
232944.04,76.72,5,2,1,44.5
455490.86,71.87,6,2,1,38.82
1036224.05,88.66,4,3,0,12.52
450900.99,28.64,3,3,1,43.74
435074.5,45.19,6,3,1,14.78
113362.49,35.07,5,1,1,20.6
698075.25,31.92,2,2,1,9.36
1946151.99,65.45,1,1,0,44.27
287188.94,23.94,4,4,1,4.74
188402.65,49.51,6,4,1,49.71
265639.22,64.96,5,1,1,16.5
236270.01,21.08,10,3,0,35.57
885985.1,31.84,2,3,0,6.52
172551.15,92.23,3,3,0,24.44
138868.89,77.61,4,3,1,2.1
172204.73,67.54,8,4,0,43.93
521870.13,82.76,5,3,1,22.38
54479.89,11.19,7,5,0,37.16
367275.5,10.52,4,3,1,44.74
289182.53,23.09,5,1,1,3.52
1520257.64,52.1,3,5,1,25.62
786886.84,58.45,2,1,1,9.56
1247492.64,19.66,2,4,0,3.54
719377.83,16.14,3,3,0,31.14
276098.49,80.41,2,4,1,5.79
785935.47,49.48,4,3,1,24.65
1128151.18,94.36,2,1,1,9.93
896585.46,29.49,3,2,1,9.97
6970031.73,65.01,3,3,1,26.2
189268.13,78.37,3,3,1,27.81
930110.36,84.17,6,5,1,0.27
556220.01,36.04,3,3,1,25.09
392635.85,26.43,6,2,1,33.52
321557.99,29.22,6,1,1,33.96
384294.26,66.67,4,4,0,42.51
281718.14,54.4,5,4,1,44.78
805398.89,60.91,3,3,0,31.18
797865.87,11.74,1,3,1,24.14
1555333.14,43.23,2,4,1,10.28
257435.35,36.36,6,2,0,6.43
167744.78,83.42,6,2,1,30.49
252264.35,75.98,6,3,1,47.33
1405181.79,46.51,3,1,1,13.98
130731.87,63.6,11,3,0,5.06
2458525.09,14.05,1,2,1,21.25
255758.35,64.17,5,2,1,0.12
1562200.45,18.26,2,3,0,27.72
747889.32,70.69,4,3,0,2.57
1502845.6,58.78,4,1,1,46.56
356904.57,35.54,5,2,1,43.51
1480729.9,41.52,2,2,1,5.83
2102926.54,17.66,1,1,1,7.43
862926.81,37.44,5,3,1,47.68
322032.0,92.18,4,2,1,40.7
516713.44,51.33,6,2,1,47.11
352830.73,50.31,5,4,1,16.79
635949.73,63.48,3,1,0,5.64
418994.71,51.18,5,5,0,30.81
2306736.33,40.22,1,3,1,48.34
924598.99,21.86,2,2,1,6.59
451075.49,63.58,5,2,0,40.96
5110822.12,73.66,1,5,1,18.04
511631.37,88.46,7,3,1,5.86
668007.61,10.26,5,3,1,23.01
215510.76,15.67,7,3,0,24.49
232586.53,86.45,5,3,1,0.55
703443.21,63.65,5,2,1,23.78
3353878.77,91.42,1,2,1,32.41
1599161.71,46.62,3,3,1,38.26
345006.06,45.42,4,4,0,5.02
863823.4,39.26,2,2,1,43.84
247136.78,22.14,3,3,1,8.47
391688.82,42.18,4,5,0,32.95
1201798.83,11.25,3,2,0,27.68
374672.81,53.29,4,2,0,44.01
1455908.55,82.01,2,2,0,2.03
353719.75,37.3,5,1,1,9.66
802768.72,18.04,3,3,1,6.19
497941.55,92.77,2,2,1,16.44
417353.04,20.96,5,1,0,17.01
164747.82,54.94,2,4,1,4.52
253204.35,78.78,7,4,1,25.76
186357.41,31.45,4,4,1,5.9
1022030.97,81.53,4,5,0,3.81
526857.26,57.35,6,4,1,1.76
655863.67,38.21,4,1,1,46.46
823109.29,83.58,6,2,1,19.9
374009.99,62.87,3,1,1,14.26
1414269.3,62.31,4,2,0,24.17
495540.71,52.84,7,1,0,7.97
245771.29,33.35,7,3,0,20.37
979774.5,35.91,4,4,1,9.61
255232.34,17.49,4,2,1,15.29
302246.18,30.72,4,3,1,46.22
688106.56,33.62,2,1,0,7.52
240591.06,14.99,6,3,1,23.74
262963.64,19.38,4,2,1,33.08
826051.11,32.97,5,5,0,45.91
848767.16,67.57,2,5,1,46.16
612441.45,25.66,4,1,1,12.44
234692.1,54.36,6,5,1,47.16
166265.91,53.17,4,3,0,16.64
1165764.01,80.89,2,3,1,44.76
157369.63,61.78,4,3,1,4.75
475691.69,87.94,4,4,1,10.0
174481.34,63.39,5,2,0,4.04
2177642.25,12.17,3,1,0,15.02
489386.32,42.43,7,3,1,43.71
704215.7,69.42,3,3,0,8.05
846432.8,50.39,5,3,1,11.32
397757.63,45.65,3,4,0,10.89
343398.23,67.08,8,1,1,13.81
279412.57,34.29,8,5,1,1.03
774365.88,87.26,3,5,1,21.25
709029.65,45.12,6,1,1,48.82
769272.78,63.65,4,2,1,22.46
589446.85,93.5,4,3,0,40.69
367294.9,76.77,2,2,1,28.61
371520.73,55.19,3,3,1,0.84
368404.47,83.05,5,2,0,29.32
349501.79,57.64,6,4,1,47.33
335462.51,47.54,3,2,1,27.72
2809153.41,84.24,3,3,1,26.44
4925007.88,12.31,1,3,1,33.54
474260.26,44.63,6,5,0,43.56
690112.45,39.15,3,3,0,28.28
581904.91,70.7,3,1,0,20.38
224002.17,11.07,5,2,1,1.95
296730.07,66.17,7,3,0,5.64
1157189.0,39.44,2,4,1,32.47
313743.6,18.32,3,3,1,30.99
1211486.49,93.33,2,3,1,12.03
602132.19,28.04,3,4,1,35.97
210386.83,39.68,3,1,1,14.06
591621.18,27.6,2,4,0,15.32
309402.65,66.27,5,4,1,3.16
2051332.84,76.51,3,4,0,27.56
922940.07,83.15,3,5,1,14.46
889763.57,36.43,1,2,0,40.97
884704.96,54.59,3,3,1,40.09
156714.3,66.38,5,2,0,6.51
949148.24,63.51,4,2,0,8.08
747267.15,70.86,2,2,0,16.12
234304.48,75.43,8,4,0,29.08
1464267.54,18.29,3,1,1,17.19
228984.02,24.31,4,2,1,17.58
214364.85,72.42,4,3,0,7.09
232833.98,50.52,6,4,0,16.85
1848490.89,46.3,2,3,1,23.57
199206.65,48.71,4,1,1,49.24
181236.75,41.62,2,3,1,41.91
378136.43,60.24,4,2,1,39.67
690209.27,37.48,4,5,1,28.04
679014.38,64.13,6,5,0,18.07
250282.04,27.22,6,1,1,42.86
516345.68,74.4,3,3,0,17.44
1981160.34,76.44,2,4,1,29.68
215247.26,59.17,3,2,1,12.93
785236.6,41.39,2,3,0,38.84
444549.38,11.22,5,2,0,25.78
432687.81,20.33,6,1,1,44.77
243374.46,16.77,6,5,1,28.49
2024158.48,10.87,1,3,1,8.3
74253.79,71.39,6,4,1,49.65
667906.7,91.27,2,3,0,25.15
867605.97,10.95,3,2,1,12.61
366594.38,19.58,3,2,1,16.53
2054186.64,83.16,1,4,1,6.15
648118.7,68.52,4,1,0,3.79
807197.22,44.4,2,2,1,22.58
439257.18,94.39,5,2,1,47.6
278191.8,58.76,4,2,1,6.24
437896.94,66.92,4,1,0,45.15
476570.16,65.52,6,4,0,39.86
544644.96,28.93,4,2,1,40.34
278909.69,51.49,5,4,1,35.53
1134137.11,28.39,2,2,1,29.63
1522126.14,53.3,2,3,0,6.16
115913.25,12.62,5,3,1,28.83
1324879.61,42.47,3,4,1,17.66
405125.75,41.64,4,4,0,5.35
1279713.5,34.79,2,3,0,40.21
1016680.83,16.73,4,4,1,27.37
174130.08,75.53,5,1,1,37.27
431802.29,45.74,3,3,1,24.03
333511.58,79.19,5,3,1,27.63
123891.67,81.04,10,2,1,35.65
1123011.0,28.16,5,3,1,12.42
395270.04,45.81,3,3,1,42.37
236786.1,71.28,6,3,1,21.11
2241449.74,52.46,1,1,1,35.45
321289.54,82.68,3,3,1,16.37
521246.99,58.58,3,4,0,35.15
479756.54,63.51,5,3,1,2.27
811903.34,76.9,2,3,0,46.47
468679.07,20.39,4,5,0,39.37
180404.93,59.66,8,4,0,33.27
399580.54,17.26,2,5,1,16.26
601187.15,32.15,4,1,1,42.15
1420707.41,28.07,4,3,1,38.41
501193.04,58.2,4,2,1,22.71
1134850.28,81.73,2,3,0,9.95
1502267.92,21.29,2,3,1,8.86
308596.36,75.31,3,3,1,24.46
688360.01,22.16,8,3,1,39.19
373113.45,26.12,6,4,1,35.75
879716.23,87.94,6,3,1,24.73
425733.1,10.83,3,4,1,10.3
655800.94,26.76,9,5,1,12.04
526145.9,28.32,6,4,1,2.98
552598.04,33.96,5,2,1,8.92
570415.49,40.89,4,2,0,0.74
284680.67,18.77,6,2,1,33.76
1358248.7,49.82,3,2,1,29.45
431394.39,43.94,5,4,1,49.4
609112.45,63.12,1,1,0,38.16
338092.85,83.74,3,4,1,12.39
443386.97,35.31,4,4,1,35.42
298509.74,56.45,8,3,1,0.71
319428.08,41.57,6,2,0,49.31
686679.54,13.42,6,1,1,30.76
153744.06,79.79,4,2,0,6.07
1080576.85,63.91,2,1,0,24.98
222037.19,10.18,3,4,0,47.04
1042586.38,31.21,3,3,0,42.5
312251.83,36.26,6,2,0,15.02
1275206.65,78.98,2,1,1,19.87
295190.4,74.66,4,3,1,42.69
1424122.9,43.67,3,4,0,45.01
1234803.63,23.37,3,4,1,45.74
703506.38,42.81,4,2,1,47.4
305752.18,78.86,6,5,1,25.08
701951.79,48.45,4,3,0,43.09
648694.58,19.85,2,2,0,17.41
828224.09,13.28,4,2,1,41.92
2667204.17,38.33,2,1,1,17.44
942293.4,22.61,4,3,1,30.46
426610.3,73.33,3,4,1,23.48
410483.46,33.69,6,3,1,44.66
182531.34,84.58,5,4,0,3.42
465875.97,62.47,6,3,1,47.44
1299142.34,43.46,2,5,1,23.16
322856.43,61.85,2,4,0,24.12
493748.97,35.09,2,1,0,41.41
557659.8,22.01,3,1,1,33.34
551761.88,91.96,3,4,0,47.69
479820.17,57.87,2,2,1,27.38
1251984.01,10.62,2,2,1,27.98
461135.06,36.38,5,4,1,48.59
252086.7,23.56,7,5,1,46.33
314969.39,31.95,4,4,1,10.51
1859981.49,14.74,2,4,1,15.42
764772.83,30.83,7,1,1,31.3
494474.48,68.06,3,1,1,46.97
343315.62,79.75,4,3,0,28.21
332795.36,39.53,8,3,1,36.67
399867.3,54.41,4,1,1,4.79
303945.05,13.55,6,4,1,26.18
618068.13,17.72,5,3,1,7.47
126114.87,56.91,5,3,0,13.11
874618.86,81.45,5,3,1,8.4
295876.72,17.48,7,1,0,8.38
387243.8,45.58,4,3,1,49.59
469848.3,92.49,4,4,1,14.98
387712.63,72.8,5,2,1,28.32
87714.08,26.8,8,4,1,1.1
1620670.72,34.24,3,2,1,40.34
1016268.56,90.57,2,3,1,34.04
862153.83,28.78,3,3,0,11.52
877327.38,47.48,4,2,0,1.9
358143.93,40.23,3,3,1,13.8
658545.42,51.65,4,4,0,31.47
337721.69,30.11,5,4,1,0.86
3295480.25,66.81,1,5,1,3.86
92217.4,29.94,6,4,1,20.53
1868307.35,61.18,1,5,1,8.88
230164.17,40.41,6,3,0,31.63
513969.84,31.38,5,3,0,8.82
525753.95,69.08,5,2,1,49.68
259363.69,92.05,5,2,1,21.85
431094.84,83.9,3,2,0,7.5
927690.64,17.38,2,4,0,3.78
385926.56,48.63,3,3,1,21.09
547671.4,69.06,6,2,1,40.47
529592.64,57.82,3,4,0,22.0
173279.28,71.74,2,3,0,7.14
263905.75,92.89,6,1,0,24.49
265821.24,39.09,4,1,1,16.93
372535.39,75.52,2,1,1,25.14
943681.52,18.0,1,2,1,19.62
352880.8,83.93,6,4,0,32.43
1100076.34,76.17,4,4,0,40.2
598161.66,54.28,4,2,0,44.33
459312.31,79.79,3,2,1,37.09
868853.87,66.66,3,3,1,17.82
376341.2,56.94,4,4,1,22.48
435664.4,90.41,3,2,1,32.12
165317.46,21.07,6,3,0,11.07
173270.35,94.4,4,4,0,35.12
313830.36,23.13,5,4,1,32.52
544998.18,50.81,4,4,1,32.86
311846.49,29.67,6,2,1,16.73
772411.46,33.11,2,3,1,30.12
281041.61,63.71,4,1,0,9.97
571208.63,12.95,5,3,1,9.57
299871.27,89.96,3,2,0,38.45
1579264.15,33.77,2,4,1,19.04
543357.42,33.17,2,1,1,27.28
315604.3,83.4,4,3,1,14.71
205589.04,75.01,4,4,0,11.87
733814.49,67.1,2,4,0,39.02
508528.9,22.44,7,3,0,39.73
900553.24,75.42,3,3,1,41.83
1783175.08,40.67,2,4,1,42.74
387462.9,94.48,7,2,1,20.63
255634.44,67.06,4,3,1,40.47
812912.93,81.05,2,4,1,17.36
413853.88,72.37,3,2,0,2.72
1468471.55,60.51,3,5,0,34.5
193394.79,70.89,5,2,1,10.03
847396.73,60.79,4,1,0,22.63
847018.62,14.35,4,2,0,8.28
990547.06,39.37,6,1,0,19.64
775327.55,36.9,2,2,0,44.25
760019.17,70.69,4,1,1,30.7
1299164.12,58.97,6,3,0,7.49
342189.73,61.89,4,4,1,36.3
197339.62,81.99,4,1,1,42.41
213925.2,54.65,3,3,1,8.4
608157.58,28.55,5,1,0,37.23
128113.51,11.06,5,4,1,27.5
317162.85,23.56,5,5,1,30.25
2577648.0,12.6,1,3,1,46.96
443151.69,30.15,5,4,1,1.92
853119.26,63.97,3,3,0,31.98
755217.92,22.87,3,2,0,4.17
711805.53,16.96,6,2,1,39.5
279935.87,92.52,4,4,0,44.82
440290.77,94.74,3,3,0,4.42
207865.16,64.15,6,5,1,1.39
1087620.45,19.23,3,5,1,47.79
1701621.15,79.83,2,2,0,46.33
649813.6,55.83,4,3,0,46.19
1008325.75,25.48,4,3,0,46.99
488956.25,58.93,2,4,0,25.05
1347875.36,13.35,4,3,1,48.85
2472637.6,92.66,2,3,1,44.63
616575.02,80.21,5,3,1,4.97
1443794.08,32.17,4,2,1,40.65
146765.03,45.61,5,5,1,35.65
361868.71,43.6,4,1,1,6.79
182208.66,83.23,7,1,0,36.92
1528412.87,40.14,2,3,0,24.3
263978.04,14.08,4,2,0,42.71
520600.18,28.25,6,3,0,40.96
1504106.21,28.32,3,1,0,47.12
752252.55,90.69,4,3,1,3.86
783587.74,88.54,3,2,0,35.54
182684.61,35.55,6,2,1,18.92
1192889.91,10.24,1,3,1,38.82
2098270.86,53.94,2,4,1,30.17
791207.11,77.77,4,3,0,24.83
484219.66,32.83,4,2,0,0.31
308604.67,47.32,5,3,1,30.4
117603.89,24.69,5,5,1,21.08
208574.31,37.83,5,3,1,16.69
1040375.21,74.5,6,3,1,49.44
229907.49,46.4,4,5,0,35.05
