regency_city,year,total_population,number_of_poor_people,poverty_percentage,school_participation_rate,sanitation_access_percent,drinking_water_access_percent,proper_housing_percent,unemployment_rate,gdp_per_capita,population_density,hdi,radiasi_satelit_ntl,pendapatan_per_kapita_bulan,skor_aset,status_mustahik
Kota Madiun,2024,985440.0,,7.733333333333333,31.18,88.08999999999999,97.79333333333334,,4.3,92449.2,1119.0,84.51,20.166316663696765,7704100.0,69.53853076786004,0
Kota Malang,2020,985440.0,,7.733333333333333,60.88,88.08999999999999,97.79333333333334,,9.61,85539.5,1119.0,81.45,19.31139980366112,7128291.666666667,67.91995375553591,0
Kota Malang,2021,985440.0,,7.733333333333333,61.41,88.08999999999999,97.79333333333334,,9.65,90159.9,1119.0,82.04,19.93405114090203,7513325.0,68.44333129580093,0
Kota Malang,2022,1147806.6666666667,,6.476666666666667,80.75,93.09666666666668,97.66333333333334,,7.66,98884.9,1787.0,82.71,22.016383363575773,8240408.333333333,71.17440770626574,0
Kota Malang,2023,1417390.0,,11.266666666666667,50.38,90.62,93.50666666666666,,6.8,107541.8,1088.6666666666667,83.39,19.060872263085216,8961816.666666666,69.33932565988549,1
Kota Malang,2024,1681456.6666666667,,8.913333333333334,50.33,88.16666666666667,93.91666666666667,,6.1,114721.6,1690.0,84.68,19.140156179115515,9560133.333333334,69.15591823651485,0
Kota Mojokerto,2020,1867938.3333333333,,11.31,31.03,80.66,95.92,,6.74,49840.4,604.8333333333334,78.04,15.659979157809673,4153366.6666666665,62.64168268821985,1
Kota Mojokerto,2021,1871876.6666666667,,11.123333333333333,31.93,79.63333333333333,96.52333333333333,,6.87,51961.6,636.0,78.43,15.912916592119798,4330133.333333333,62.60642304251683,1
Kota Mojokerto,2022,1412366.6666666667,,12.363333333333335,81.96,83.63,96.43666666666667,,5.05,56648.2,569.0,79.32,16.881673199405057,4720683.333333333,64.60854147664848,1
Kota Mojokerto,2023,1557666.6666666667,,10.013333333333334,24.82,79.04333333333334,96.48333333333335,,4.73,59061.3,525.6666666666666,80.07,17.39281104415733,4921775.0,63.768451251149536,1
Kota Mojokerto,2024,1416545.0,,11.933333333333332,29.55,83.33999999999999,96.90666666666668,,3.76,62683.9,558.5,81.76,17.53698428975315,5223658.333333333,65.79999274911684,1
Kota Pasuruan,2020,1501876.6666666667,,13.133333333333333,22.4,65.95666666666666,96.87333333333333,,6.33,38774.0,614.3333333333334,75.26,17.111028096393166,3231166.6666666665,57.788397582950694,1
Kota Pasuruan,2021,1703820.0,,8.75,23.28,86.02,96.53333333333335,,6.23,40372.0,977.5,75.62,16.79232960638179,3364333.3333333335,63.804305972176216,0
Kota Pasuruan,2022,1632193.3333333333,,7.656666666666667,78.69,82.99999999999999,96.26666666666667,,6.18,44302.5,901.6666666666666,76.54,18.656325745347498,3691875.0,64.12661188246807,0
Kota Pasuruan,2023,2037971.6666666667,,8.563333333333334,22.78,80.13000000000001,93.93333333333332,,5.64,48057.8,485.5,77.17,16.055026275715882,4004816.6666666665,62.317012127253484,0
Kota Pasuruan,2024,1867938.3333333333,,11.31,19.99,80.66,95.92,,4.63,51087.4,604.8333333333334,78.9,20.053379451601142,4257283.333333333,65.01340590073899,1
Kota Probolinggo,2020,1833113.3333333333,,8.110000000000001,24.87,80.94666666666666,94.67666666666666,,6.7,46301.6,678.0,73.27,17.43110705462813,3858466.6666666665,61.63712633290529,0
Kota Probolinggo,2021,2037971.6666666667,,8.563333333333334,25.66,80.13000000000001,93.93333333333332,,6.55,48406.1,485.5,73.66,15.362078872130805,4033841.6666666665,60.593190248675754,0
Kota Probolinggo,2022,1410443.3333333333,,12.363333333333335,81.93,82.04,96.83,,4.57,52920.9,575.6666666666666,74.56,15.53294761191844,4410075.0,61.60505274396236,1
Kota Probolinggo,2023,1412366.6666666667,,12.363333333333335,22.55,83.63,96.43666666666667,,4.53,57885.1,569.0,75.43,17.60716164474744,4823758.333333333,63.38738229757574,1
Kota Probolinggo,2024,1416545.0,,11.933333333333332,25.61,83.33999999999999,96.90666666666668,,4.44,61613.6,558.5,77.79,16.893744960755694,5134466.666666667,63.91511305881031,1
Kota Surabaya,2020,2874300.0,,5.23,48.93,91.84,98.74,,9.79,193009.9,8200.0,82.23,24.09730981758394,16084158.333333334,71.56583530042336,0
Kota Surabaya,2021,2880760.0,152.49,5.23,48.41,95.2,98.06,,9.68,204410.6,8397.5,82.31,23.98042732293913,17034216.666666668,72.55188953366421,0
Kota Surabaya,2022,2887220.0,138.21,4.72,63.0,96.41,95.66,,7.62,226080.4,8595.0,82.74,23.604943324197084,18840033.333333332,72.91358922655249,0
Kota Surabaya,2023,2887220.0,,4.72,40.33,96.41,95.66,,6.76,245684.8,8595.0,83.45,22.884082371032616,20473733.333333332,72.86488417124582,0
Kota Surabaya,2024,2887220.0,,4.72,42.46,96.41,95.66,,4.91,264371.9,8595.0,84.69,22.265686689121328,22030991.666666668,73.07547077959445,0
